year,ind,series,value,ind_title,ind_2d
2020,335,coe,97.90575916230365,"Electrical equipment, appliances, and components",FALSE
2021,335,coe,104.18848167539265,"Electrical equipment, appliances, and components",FALSE
2022,335,coe,109.94764397905759,"Electrical equipment, appliances, and components",FALSE
2023,335,coe,117.80104712041884,"Electrical equipment, appliances, and components",FALSE
2019,335,gos,100,"Electrical equipment, appliances, and components",FALSE
2020,335,gos,100.48076923076923,"Electrical equipment, appliances, and components",FALSE
2021,335,gos,101.92307692307692,"Electrical equipment, appliances, and components",FALSE
2022,335,gos,127.88461538461539,"Electrical equipment, appliances, and components",FALSE
2023,335,gos,143.75,"Electrical equipment, appliances, and components",FALSE
2019,335,taxes,100,"Electrical equipment, appliances, and components",FALSE
2020,335,taxes,-60,"Electrical equipment, appliances, and components",FALSE
2021,335,taxes,20,"Electrical equipment, appliances, and components",FALSE
2022,335,taxes,120,"Electrical equipment, appliances, and components",FALSE
2023,335,taxes,120,"Electrical equipment, appliances, and components",FALSE
2019,3361MV,coe,100,"Motor vehicles, bodies and trailers, and parts",FALSE
2020,3361MV,coe,90.7845579078456,"Motor vehicles, bodies and trailers, and parts",FALSE
2021,3361MV,coe,99.5018679950187,"Motor vehicles, bodies and trailers, and parts",FALSE
2022,3361MV,coe,109.9626400996264,"Motor vehicles, bodies and trailers, and parts",FALSE
2023,3361MV,coe,116.68742216687423,"Motor vehicles, bodies and trailers, and parts",FALSE
2019,3361MV,gos,100,"Motor vehicles, bodies and trailers, and parts",FALSE
2020,3361MV,gos,87.98449612403098,"Motor vehicles, bodies and trailers, and parts",FALSE
2021,3361MV,gos,79.7157622739018,"Motor vehicles, bodies and trailers, and parts",FALSE
2022,3361MV,gos,86.82170542635659,"Motor vehicles, bodies and trailers, and parts",FALSE
2023,3361MV,gos,100.25839793281652,"Motor vehicles, bodies and trailers, and parts",FALSE
2019,3361MV,taxes,100,"Motor vehicles, bodies and trailers, and parts",FALSE
2020,3361MV,taxes,39.024390243902445,"Motor vehicles, bodies and trailers, and parts",FALSE
2021,3361MV,taxes,39.024390243902445,"Motor vehicles, bodies and trailers, and parts",FALSE
2022,3361MV,taxes,114.63414634146342,"Motor vehicles, bodies and trailers, and parts",FALSE
2023,3361MV,taxes,124.39024390243902,"Motor vehicles, bodies and trailers, and parts",FALSE
2019,3364OT,coe,100,Other transportation equipment,FALSE
2020,3364OT,coe,96.34285714285714,Other transportation equipment,FALSE
2021,3364OT,coe,95.54285714285714,Other transportation equipment,FALSE
2022,3364OT,coe,103.31428571428572,Other transportation equipment,FALSE
2023,3364OT,coe,113.71428571428571,Other transportation equipment,FALSE
2019,3364OT,gos,100,Other transportation equipment,FALSE
2020,3364OT,gos,77.97062750333778,Other transportation equipment,FALSE
2021,3364OT,gos,91.72229639519358,Other transportation equipment,FALSE
2022,3364OT,gos,88.51802403204272,Other transportation equipment,FALSE
2023,3364OT,gos,116.02136181575433,Other transportation equipment,FALSE
2019,3364OT,taxes,100,Other transportation equipment,FALSE
2020,3364OT,taxes,35.483870967741936,Other transportation equipment,FALSE
2021,3364OT,taxes,22.58064516129032,Other transportation equipment,FALSE
2022,3364OT,taxes,119.35483870967741,Other transportation equipment,FALSE
2023,3364OT,taxes,129.03225806451613,Other transportation equipment,FALSE
2019,337,coe,100,Furniture and related products,FALSE
2020,337,coe,97.32142857142858,Furniture and related products,FALSE
2021,337,coe,105.35714285714286,Furniture and related products,FALSE
2022,337,coe,111.16071428571429,Furniture and related products,FALSE
2023,337,coe,109.82142857142858,Furniture and related products,FALSE
2019,337,gos,100,Furniture and related products,FALSE
2020,337,gos,125.33333333333333,Furniture and related products,FALSE
2021,337,gos,98.66666666666667,Furniture and related products,FALSE
2022,337,gos,90.66666666666667,Furniture and related products,FALSE
2023,337,gos,94.66666666666667,Furniture and related products,FALSE
2019,337,taxes,100,Furniture and related products,FALSE
2020,337,taxes,-340,Furniture and related products,FALSE
2021,337,taxes,-200,Furniture and related products,FALSE
2022,337,taxes,100,Furniture and related products,FALSE
2023,337,taxes,120,Furniture and related products,FALSE
2019,339,coe,100,Miscellaneous manufacturing,FALSE
2020,339,coe,97.05882352941177,Miscellaneous manufacturing,FALSE
2021,339,coe,105.5363321799308,Miscellaneous manufacturing,FALSE
2022,339,coe,112.9757785467128,Miscellaneous manufacturing,FALSE
2023,339,coe,116.78200692041523,Miscellaneous manufacturing,FALSE
2019,339,gos,100,Miscellaneous manufacturing,FALSE
2020,339,gos,120.25316455696202,Miscellaneous manufacturing,FALSE
2021,339,gos,119.9367088607595,Miscellaneous manufacturing,FALSE
2022,339,gos,121.51898734177215,Miscellaneous manufacturing,FALSE
2023,339,gos,148.1012658227848,Miscellaneous manufacturing,FALSE
2019,339,taxes,100,Miscellaneous manufacturing,FALSE
2020,339,taxes,-104.76190476190477,Miscellaneous manufacturing,FALSE
2021,339,taxes,-38.095238095238095,Miscellaneous manufacturing,FALSE
2022,339,taxes,114.28571428571428,Miscellaneous manufacturing,FALSE
2023,339,taxes,119.04761904761904,Miscellaneous manufacturing,FALSE
2019,42,coe,100,Wholesale trade,TRUE
2020,42,coe,100.68039391226499,Wholesale trade,TRUE
2021,42,coe,108.7018800358102,Wholesale trade,TRUE
2022,42,coe,119.42703670546106,Wholesale trade,TRUE
2023,42,coe,126.53536257833483,Wholesale trade,TRUE
2019,42,gos,100,Wholesale trade,TRUE
2020,42,gos,111.48293963254594,Wholesale trade,TRUE
2021,42,gos,112.62029746281715,Wholesale trade,TRUE
2022,42,gos,131.10236220472441,Wholesale trade,TRUE
2023,42,gos,139.58880139982503,Wholesale trade,TRUE
2019,42,taxes,100,Wholesale trade,TRUE
2020,42,taxes,81.71469228032728,Wholesale trade,TRUE
2021,42,taxes,104.26894343649947,Wholesale trade,TRUE
2022,42,taxes,117.07577374599785,Wholesale trade,TRUE
2023,42,taxes,109.6051227321238,Wholesale trade,TRUE
2019,44-45,coe,100,Retail trade,TRUE
2020,44-45,coe,102.65378125479369,Retail trade,TRUE
2021,44-45,coe,114.72618499769904,Retail trade,TRUE
2022,44-45,coe,117.87083908574935,Retail trade,TRUE
2023,44-45,coe,123.4391777880043,Retail trade,TRUE
2019,44-45,gos,100,Retail trade,TRUE
