reference_area,ref_area,series,decade,var,value
Austria,AUT,inflation_def,1990-99,mean,0.7193794204785691
Austria,AUT,inflation_def,1990-99,sd,0.6865509362315734
Austria,AUT,inflation_def,2000-09,mean,1.7806248478469529
Austria,AUT,inflation_def,2000-09,sd,0.8593511842620463
Austria,AUT,inflation_def,2010-19,mean,1.6747558497762969
Austria,AUT,inflation_def,2010-19,sd,0.7839724297822395
Austria,AUT,inflation_def,2020-,mean,3.750672697704811
Austria,AUT,inflation_def,2020-,sd,2.16374170620013
Austria,AUT,lab_comp,1990-99,mean,23575.465
Austria,AUT,lab_comp,1990-99,sd,934.7961631314406
Austria,AUT,lab_comp,2000-09,mean,29483.6625
Austria,AUT,lab_comp,2000-09,sd,2915.4639335867064
Austria,AUT,lab_comp,2010-19,mean,40832.8875
Austria,AUT,lab_comp,2010-19,sd,4228.779776004221
Austria,AUT,lab_comp,2020-,mean,54477.14736842105
Austria,AUT,lab_comp,2020-,sd,5533.398637001035
Austria,AUT,labor_share,1990-99,mean,0.5003130589641733
Austria,AUT,labor_share,1990-99,sd,0.008309403960577237
Austria,AUT,labor_share,2000-09,mean,0.47129961702271395
Austria,AUT,labor_share,2000-09,sd,0.010809722705492866
Austria,AUT,labor_share,2010-19,mean,0.478115254792085
Austria,AUT,labor_share,2010-19,sd,0.005602744476678709
Austria,AUT,labor_share,2020-,mean,0.5006106499220292
Austria,AUT,labor_share,2020-,sd,0.017705972984218492
Austria,AUT,pc_lab_comp,1990-99,mean,2.5992486229634153
Austria,AUT,pc_lab_comp,1990-99,sd,1.1813275241189904
Austria,AUT,pc_lab_comp,2000-09,mean,3.145041239338208
Austria,AUT,pc_lab_comp,2000-09,sd,1.614297561713437
Austria,AUT,pc_lab_comp,2010-19,mean,3.5260326983092973
Austria,AUT,pc_lab_comp,2010-19,sd,1.0377819491610423
Austria,AUT,pc_lab_comp,2020-,mean,5.654350990647254
Austria,AUT,pc_lab_comp,2020-,sd,3.6605006668353655
Austria,AUT,pc_profits,1990-99,mean,4.236604836611564
Austria,AUT,pc_profits,1990-99,sd,1.7339367258892107
Austria,AUT,pc_profits,2000-09,mean,4.110548743835649
Austria,AUT,pc_profits,2000-09,sd,4.45931259275735
Austria,AUT,pc_profits,2010-19,mean,3.1256130935704918
Austria,AUT,pc_profits,2010-19,sd,2.483393654895985
Austria,AUT,pc_profits,2020-,mean,2.76716556809524
Austria,AUT,pc_profits,2020-,sd,7.0985758730702
Austria,AUT,pc_rgdp,1990-99,mean,2.8410802625595215
Austria,AUT,pc_rgdp,1990-99,sd,0.9008155751810061
Austria,AUT,pc_rgdp,2000-09,mean,1.7160148707760148
Austria,AUT,pc_rgdp,2000-09,sd,2.2052159517393872
Austria,AUT,pc_rgdp,2010-19,mean,1.6057497511533105
Austria,AUT,pc_rgdp,2010-19,sd,1.1570486368209323
Austria,AUT,pc_rgdp,2020-,mean,0.5657454755303458
Austria,AUT,pc_rgdp,2020-,sd,6.144329002666912
Austria,AUT,pc_taxes,1990-99,mean,6.042357990393725
Austria,AUT,pc_taxes,1990-99,sd,3.1840223820169538
Austria,AUT,pc_taxes,2000-09,mean,3.365800197652834
Austria,AUT,pc_taxes,2000-09,sd,2.5816299616344094
Austria,AUT,pc_taxes,2010-19,mean,3.0978524684851516
Austria,AUT,pc_taxes,2010-19,sd,2.069855596000037
Austria,AUT,pc_taxes,2020-,mean,11.26076314921995
Austria,AUT,pc_taxes,2020-,sd,41.13870807344495
Austria,AUT,profits,1990-99,mean,17713.32
Austria,AUT,profits,1990-99,sd,1124.4603985912534
Austria,AUT,profits,2000-09,mean,25385.975000000002
Austria,AUT,profits,2000-09,sd,3477.5124155615335
Austria,AUT,profits,2010-19,mean,33587.9625
Austria,AUT,profits,2010-19,sd,3053.238338239607
Austria,AUT,profits,2020-,mean,43027.33157894737
Austria,AUT,profits,2020-,sd,3112.060627632193
Austria,AUT,rgdp_index,1990-99,mean,73.94909175095
Austria,AUT,rgdp_index,1990-99,sd,3.110924778697399
Austria,AUT,rgdp_index,2000-09,mean,88.3077481921
Austria,AUT,rgdp_index,2000-09,sd,5.315660619922761
Austria,AUT,rgdp_index,2010-19,mean,100.924865204475
Austria,AUT,rgdp_index,2010-19,sd,4.480353877100083
Austria,AUT,rgdp_index,2020-,mean,108.73597732010526
Austria,AUT,rgdp_index,2020-,sd,5.117572334652458
Austria,AUT,taxes,1990-99,mean,5866.285
Austria,AUT,taxes,1990-99,sd,482.74958886842313
Austria,AUT,taxes,2000-09,mean,7800.8099999999995
Austria,AUT,taxes,2000-09,sd,794.5746634488617
Austria,AUT,taxes,2010-19,mean,10918.8425
Austria,AUT,taxes,2010-19,sd,884.1872782500499
Austria,AUT,taxes,2020-,mean,11365.589473684211
Austria,AUT,taxes,2020-,sd,3047.4107198470306
Belgium,BEL,contr_relative,1990-99,mean,-1.625603166408074
Belgium,BEL,contr_relative,1990-99,sd,3.486388725484429
Belgium,BEL,contr_relative,2000-09,mean,-0.34942375194093417
Belgium,BEL,contr_relative,2000-09,sd,7.278470973604801
Belgium,BEL,contr_relative,2010-19,mean,0.24844690662727456
Belgium,BEL,contr_relative,2010-19,sd,4.462802873552482
Belgium,BEL,contr_relative,2020-,mean,0.4851139913987507
Belgium,BEL,contr_relative,2020-,sd,3.650337220113743
Belgium,BEL,contr_total,1990-99,mean,0.9410363773264978
Belgium,BEL,contr_total,1990-99,sd,0.6952738027987654
Belgium,BEL,contr_total,2000-09,mean,1.9013922113830635
Belgium,BEL,contr_total,2000-09,sd,0.48797192790166116
Belgium,BEL,contr_total,2010-19,mean,1.7353584919844514
Belgium,BEL,contr_total,2010-19,sd,0.5510442042765006
Belgium,BEL,contr_total,2020-,mean,3.8691768687507806
Belgium,BEL,contr_total,2020-,sd,2.2279672289203716
Belgium,BEL,contr_unit_labor_cost,1990-99,mean,0.5012702151876488
Belgium,BEL,contr_unit_labor_cost,1990-99,sd,0.5490632147938275
Belgium,BEL,contr_unit_labor_cost,2000-09,mean,1.0872022686401834
Belgium,BEL,contr_unit_labor_cost,2000-09,sd,1.169106311563814
Belgium,BEL,contr_unit_labor_cost,2010-19,mean,0.5563799256514282
Belgium,BEL,contr_unit_labor_cost,2010-19,sd,0.7065835277106923
Belgium,BEL,contr_unit_labor_cost,2020-,mean,1.8754702037529878
Belgium,BEL,contr_unit_labor_cost,2020-,sd,1.4561887024647084
Belgium,BEL,contr_unit_profit,1990-99,mean,0.06349848458122738
Belgium,BEL,contr_unit_profit,1990-99,sd,0.8393052847205412
